company,team,num_female_eng,num_eng,percent_female_eng,last_updated
ALL,N/A,2675,13988,19.12,08/07/2015
Dropbox,N/A,26,275,9.45,11/07/2014
Yelp,N/A,17,206,8.25,1/13/2014
Pinterest,N/A,29,175,16.57,12/16/2014
PayPal(Braintree),Braintree,7,150,4.67,7/16/2015
Etsy,N/A,19,149,12.75,10/23/2013
Airbnb,N/A,18,143,12.59,1/20/2015
GitHub,N/A,14,104,13.46,05/05/2014
Foursquare,N/A,6,85,7.06,11/13/2013
Eventbrite,N/A,14,74,18.92,6/21/2015
Flipboard,N/A,6,60,10,10/23/2013
Yahoo(Flicker),Flickr,4,42,9.52,10/28/2013
HootSuite,N/A,6,41,14.63,10/22/2013
Stack Exchange,N/A,3,40,7.5,04/07/2015
Khan Academy,N/A,10,39,25.64,09/03/2014
Quora,N/A,4,35,11.43,10/31/2013
Coursera,N/A,2,24,8.33,10/22/2013
Facebook(Parse),Parse,2,15,13.33,10/23/2013
Snapchat,N/A,2,13,15.38,10/24/2013
Codecademy,N/A,1,9,11.11,4/23/2014
The New York Times(New Products),New Products,3,21,14.29,7/25/2014